gene	Preleukemia_Control_rep1	Preleukemia_Control_rep2	Preleukemia_Control_rep3	Preleukemia_Tet2_rep1	Preleukemia_Tet2_rep2	Preleukemia_Tet2_rep3	Preleukemia_Rx1_rep1	Preleukemia_Rx1_rep2	Preleukemia_Rx1_rep3	Preleukemia_Rx1Tet2_rep1	Preleukemia_Rx1Tet2_rep2	Preleukemia_Rx1Tet2_rep3	Leukemia_Rx1Tet2_rep1	Leukemia_Rx1Tet2_rep2	Leukemia_Rx1Tet2_rep3	Leukemia_CreKI_rep1	Leukemia_CreKI_rep2	Leukemia_CreKI_rep3
Il15	1.6768450928587784	1.6023143425089312	1.6380228494670357	1.290601338441188	1.4156451065965103	1.6578594793590655	1.946356571633634	1.815395080710467	1.6241710970582828	1.7449102411438142	1.890010802576994	1.5362071111231117	4.061240486804671	3.7294331300206407	2.1968902679364937	0.8066845314272388	0.343923973146529	0.3210402757770393
Cx3cl1	0.0761521553307949	0.1642495111898155	0.11776391807921	0.3658559997845922	0.1591189214306201	0.2088867821293292	0.0286050776847971	0.0961510487446221	0.0289239832497395	0.1922219455768394	0.1043196157819458	0.1129621624145611	1.0450025460438197	0.8022858773895098	0.811560631029141	0.0	0.0	0.0
Ccl17	1.520261311475991	1.2288433122811402	1.2381754185773757	0.8958733812925962	1.128695926723591	1.5107999233710936	1.2581992954212022	0.7122594425378574	1.01354086891172	1.6981517881603378	1.320657964311925	0.8826563514378428	3.048715725308547	3.4454141915040046	2.343458990869679	2.134736799962927	5.549687650903273	4.0636151092108
Cxcl10	0.5928401901076518	0.2682271672022994	0.3194422106412858	0.4540811144859711	0.3991010769681267	0.2131021194069907	0.4963928081133935	1.3868771489321745	0.8143281062019112	2.0789991458822605	3.059317202148893	2.3308738654473675	0.9027443006938451	0.3713949296880527	0.0419711561351675	2.704010958546517	0.1683429405496756	0.0589916504916758
Ccl5	2.8856544034186404	1.945955975364129	2.304589891408422	2.371405524555692	2.514258631024542	2.9079462620516514	1.8301376642625156	1.2544731079527325	1.3198837910004908	1.7861362988203386	2.023084987107664	1.6081042784617414	8.432516846132373	4.135403530597651	3.356703027933956	3.286807237337525	2.940085919701532	1.8089245444911044
Ccl7	0.0	0.0	0.0573648690415943	0.0	0.0	0.0	0.0	0.0695733561868177	0.0	0.0842986156460014	0.0	0.0	3.381322139220111	3.5493241639678907	4.281290232369959	0.0	0.1648647812683805	0.0
Ccl2	0.0	0.0	0.056295792990761	0.0709515945769532	0.0	0.0806010458331514	0.0694383471992978	0.1335017134170204	0.1363335484117806	0.2352111505237507	0.2438676815632206	0.1374586683522717	4.484627971283161	3.660506541056852	4.258956038800659	0.8405752209286329	0.6178118931013662	0.164406571590052
Il18	1.1882236628969371	0.7305147538976192	0.853631635039794	0.8818525293670735	0.9277296146951056	1.3743718131682767	0.9626504429479024	0.6923834523417003	0.6708847397566335	1.3746110785351742	1.2981714704685738	1.250391657055565	1.4834211179854768	0.6788156030249509	0.3897551207336608	1.6590979678454487	1.8203137778825969	0.6656201640663814
Cxcl12	0.0702963054122428	0.022695343084964	0.012235145357153	0.0308076936877425	0.0	0.127143538651005	0.0263947024553818	0.0659363514319975	0.0154276309599189	0.07929618112362	0.0	0.035098109928917	0.0155777803246805	0.0639434147595013	0.0	4.859591933988677	4.605227626335486	3.1256048183101046
Ccl27a	2.9940094120853096	2.215936364081259	2.171860120396577	1.7903299884280386	2.4385164253680363	2.3502313140780964	2.0829001119561847	3.0708392411832253	2.8268982507708644	2.5491910678802565	2.917538688451919	2.2723845642942964	0.700498312565151	0.205261125411848	0.1551222882153423	0.7830324794802435	1.4827089104471247	0.8418596305021847
