sample id	i7 index	i5 index	Library type	Species	Sample information	fastqs
EMseq-R15-Preleukemia-Rx1Tet2-rep2			EM-seq	mouse	EMseq-R15-Preleukemia-Rx1Tet2-rep2	/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-R15-Preleukemia-Rx1Tet2-rep2_R1.fastq.gz,/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-R15-Preleukemia-Rx1Tet2-rep2_R2.fastq.gz
EMseq-R17-Preleukemia-Rx1Tet2-rep3			EM-seq	mouse	EMseq-R17-Preleukemia-Rx1Tet2-rep3	/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-R17-Preleukemia-Rx1Tet2-rep3_R1.fastq.gz,/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-R17-Preleukemia-Rx1Tet2-rep3_R2.fastq.gz
EMseq-D10-Leukemia-CreKI-rep1			EM-seq	mouse	EMseq-D10-Leukemia-CreKI-rep1	/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-D10-Leukemia-CreKI-rep1_R1.fastq.gz,/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-D10-Leukemia-CreKI-rep1_R2.fastq.gz
EMseq-D16-Leukemia-CreKI-rep2			EM-seq	mouse	EMseq-D16-Leukemia-CreKI-rep2	/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-D16-Leukemia-CreKI-rep2_R1.fastq.gz,/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-D16-Leukemia-CreKI-rep2_R2.fastq.gz
EMseq-D18-Leukemia-CreKI-rep3			EM-seq	mouse	EMseq-D18-Leukemia-CreKI-rep3	/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-D18-Leukemia-CreKI-rep3_R1.fastq.gz,/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-D18-Leukemia-CreKI-rep3_R2.fastq.gz
EMseq-G13-Leukemia-Rx1Tet2-rep1			EM-seq	mouse	EMseq-G13-Leukemia-Rx1Tet2-rep1	/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-G13-Leukemia-Rx1Tet2-rep1_R1.fastq.gz,/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-G13-Leukemia-Rx1Tet2-rep1_R2.fastq.gz
EMseq-L35-Leukemia-Rx1Tet2-rep2			EM-seq	mouse	EMseq-L35-Leukemia-Rx1Tet2-rep2	/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-L35-Leukemia-Rx1Tet2-rep2_R1.fastq.gz,/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-L35-Leukemia-Rx1Tet2-rep2_R2.fastq.gz
EMseq-L40-Leukemia-Rx1Tet2-rep3			EM-seq	mouse	EMseq-L40-Leukemia-Rx1Tet2-rep3	/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-L40-Leukemia-Rx1Tet2-rep3_R1.fastq.gz,/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-L40-Leukemia-Rx1Tet2-rep3_R2.fastq.gz
EMseq-G18-Leukemia-Rx1Tet2-rep4			EM-seq	mouse	EMseq-G18-Leukemia-Rx1Tet2-rep4	/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-G18-Leukemia-Rx1Tet2-rep4_R1.fastq.gz,/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-G18-Leukemia-Rx1Tet2-rep4_R2.fastq.gz
EMseq-G34-Leukemia-Rx1Tet2-rep5			EM-seq	mouse	EMseq-G34-Leukemia-Rx1Tet2-rep5	/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-G34-Leukemia-Rx1Tet2-rep5_R1.fastq.gz,/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-G34-Leukemia-Rx1Tet2-rep5_R2.fastq.gz
