gene	Preleukemia_Control_rep1	Preleukemia_Control_rep2	Preleukemia_Control_rep3	Preleukemia_Tet2_rep1	Preleukemia_Tet2_rep2	Preleukemia_Tet2_rep3	Preleukemia_Rx1_rep1	Preleukemia_Rx1_rep2	Preleukemia_Rx1_rep3	Preleukemia_Rx1Tet2_rep1	Preleukemia_Rx1Tet2_rep2	Preleukemia_Rx1Tet2_rep3	cluster
Cap2	0.3983253145156052	-0.3143716429693286	-0.0972945618492432	1.3481755173920382	1.301047267966411	0.9048885015752476	0.4174174024299203	-0.6374032910837163	-0.1065896731352686	-1.0860604057508791	-2.361763227071208	0.2336287979804211	0
Ext1	0.521671196100588	1.4182391018155491	0.4700179973937531	0.6530645748815647	1.0898523631302066	1.0304917052085385	-0.116082102746131	-0.3009390153761331	-0.7648991131357296	-1.0175628624067852	-2.058989250108925	-0.9248645947564904	0
Nolc1	0.4050367631285632	0.7414262467091112	0.1830245147276748	0.0839875857176061	0.9676389166718966	1.2152399605362922	-2.079370444218529	-0.5274751542963999	-0.0016451911223488	1.1187677286778566	-1.669734504394793	-0.4368964221369374	0
Ctsw	0.8854742582038752	0.7487695468462834	0.6459165444271422	0.5601725649953286	-0.0839745962118646	2.233007014832462	-0.2648015749086832	-0.9055421928626516	-1.0304492371680918	-0.4374289341172403	-1.2843652817627067	-1.066778112273855	0
Anxa4	0.3688614858771941	0.8040052138847544	0.4574070267912967	1.9380912669875352	0.6727204965425024	1.1424612270768877	-0.4209831276020165	-0.758897852023956	-1.3613616460806306	-1.270414947517165	-0.6472052536952787	-0.9246838902411192	0
Bex4	1.5250640826864197	0.5129011435067733	0.6021370112079782	0.5048838729262998	0.9863620925212232	1.2927850609644995	-0.6103765697737402	-0.8321076662855424	-0.6897273922404685	-0.3404605752644806	-1.7377139882346813	-1.2137470720142802	0
Laptm4b	1.0178523223497362	0.7822777579830033	0.8729792503506659	0.7253676235944092	-0.1203114682646152	-0.2661843058657742	-0.6947179489586578	-0.2058618532296764	1.411899247579616	-0.983251468658962	-0.2053043481854204	-2.334744808694321	0
Rab27b	-1.2312302605005956	1.92935331256076	0.4069050690630296	0.646740325042543	0.8562143723796183	0.433664319903137	0.053571845022587	-0.936155022361242	-1.695994568680006	0.7427963991858734	-0.2696170740672052	-0.9362487175485056	0
Scin	0.4689652787895893	1.2416378837793174	0.9266138463385902	1.1648714107334273	0.9716094525200022	1.116435456426049	-1.0811859262363108	-1.1080521594511574	-0.9032892923014976	-1.0012632575721894	-0.8546428191326466	-0.941699873893177	0
Relt	-0.1653370086538466	-0.0082219686053795	0.2324887764821103	1.0910216836558886	0.2672707575515521	1.644424772797735	-0.7663320295985111	-0.556452642921729	0.0706047199046967	-2.438511919611857	0.9877875284351766	-0.35874266943585	0
1700086O06Rik	1.7654092199721847	0.7790018553425699	-0.0622514798787478	0.2454529424601227	1.0367087060561078	0.9189489518474632	-1.2609993790731964	-0.8593591855705535	-0.7151511540111366	0.2434724053316153	-1.822522732537976	-0.2687101499384514	0
Pdzk1ip1	1.3429541498247357	1.6021821995806604	0.3195003487682633	-0.3590592472997836	0.5434186375418106	1.6020124223397063	-0.5839808007226096	-1.059323421938262	-0.6592926865951022	-0.863166684495823	-0.7010264530738564	-1.1842184639297422	0
Kcng2	0.620232410892073	0.6478011403590838	0.5418053304650972	0.8221231237127625	1.2571493950987092	1.620746332790727	-0.6857276157327826	-0.8114818912085975	-1.1016962525450906	-1.319706506131195	-1.3739247865612203	-0.2173206811395739	0
Tfrc	0.2754670942889298	0.021428110792712	2.013938035670914	0.5403558954436102	1.005706297364381	-0.0508149523941143	0.0411664488358743	-1.1114995662466514	-0.1235439182984331	-0.1330763122474342	-2.2927887221650334	-0.1863384110447261	0
Hoxa7	1.2855754846863885	1.7203122612421178	0.3597172261445263	-0.5423212730031051	0.3087676162860912	0.6195272511062613	-0.6145217792406316	0.2800471548721472	0.2520249813876129	-1.277327075967836	-0.3375133131505403	-2.054288534363032	0
Cd24a	1.556058687390038	0.8968484971199785	0.6420693067875223	-0.4105596877881393	0.4380947104652045	0.9459474819806484	0.2122468060249813	-0.5650407277600358	-0.7294067347480607	-0.2116713009041247	-2.463505161188316	-0.3110818773796759	0
Igkv6-23	-0.441495180067646	-0.441495180067646	-0.441495180067646	0.0920633342336686	0.1476572917998765	3.2258281213784046	-0.441495180067646	-0.441495180067646	0.0664126931292187	-0.441495180067646	-0.441495180067646	-0.441495180067646	0
Spns2	-0.1127470813071804	1.2375194064790962	0.590695425503807	1.5370180126790591	0.8348522890966011	1.23335887526711	-0.2226159468801349	-0.7264550242339182	-0.8822689907139034	-1.1070224105026474	-0.959450878667862	-1.422883676720042	0
Tspo2	1.5911371379891628	1.1499054104813404	0.0989863085542288	-0.2362726979950613	0.4598717092244824	1.302865853756401	-0.0013995730227136	-0.4946051299157953	-1.3087197893104805	-0.4543920280876003	-1.9989558978475164	-0.1084213038264414	0
