gene	Preleukemia_Rx1Tet2_rep1	Preleukemia_Rx1Tet2_rep2	Preleukemia_Rx1Tet2_rep3	Leukemia_Rx1Tet2_rep1	Leukemia_Rx1Tet2_rep2	Leukemia_Rx1Tet2_rep3	
Gm12250	0.594256262	1.164392877	1.09466743	-1.447998879	-0.768203798	-0.637113892	-5.706633138
Spata13	0.735862468	1.041076659	1.05094544	-0.357238787	-1.022585184	-1.448060596	-5.655769135
Cdk5r1	0.924605902	1.124850752	0.943391209	-0.968406035	-1.04987148	-0.974570348	-5.985695727
Cask	0.910990859	1.033703372	1.033422522	-0.773927138	-1.050124927	-1.154064689	-5.956233507
Ascl2	0.74112302	1.345170325	0.842623978	-0.758281455	-1.099766024	-1.070869844	-5.857834647
Gm21188	0.640428568	1.226514622	1.011971408	-0.516829284	-1.133131408	-1.228953906	-5.757829196
Ccl24	0.442829885	0.93031314	0.651047917	0.726705171	-1.057060997	-1.693835118	-4.048381886
Mcemp1	0.602573154	0.907732574	0.610798133	0.692666421	-1.380291525	-1.433478756	-4.242207721
Tlr4	0.930548675	1.12448976	0.912785997	-0.738832929	-1.058157449	-1.170834054	-5.935648864
Pld4	0.521878452	1.185977628	0.706839392	-0.427168868	-0.081657557	-1.905869047	-4.829390943
Tmem53	0.661713002	1.252556455	0.968402487	-0.567181169	-0.994970067	-1.320520708	-5.765343888
Nrp1	0.68287739	0.975851266	1.272392051	-0.727425487	-1.051216124	-1.152479096	-5.862241414
Col5a1	1.16407874	0.576546593	1.19703248	-1.023462165	-0.963448629	-0.950747019	-5.875315625
Gm29718	-0.027499319	1.187104268	1.401813387	-0.322769105	-1.205902287	-1.032746945	-5.122836672
Rnase4	1.10430454	1.278192958	0.541036983	-0.944030842	-0.947315595	-1.032188044	-5.847068963
Papss2	0.816921126	0.915003996	0.857263368	0.103578193	-1.595664741	-1.097101942	-5.17837698
Aldh1a7	0.958795498	0.149340444	1.51936484	-0.503601256	-0.714926501	-1.408973024	-5.255001563
Ccdc125	0.842751661	1.017986803	0.610435495	0.253859076	-1.135036779	-1.589996256	-4.942347917
Fcgr3	0.692223321	0.977625679	0.563097241	0.17048328	-0.386026362	-2.017403158	-4.465892481
Cpd	0.939423459	0.793970478	1.220136025	-1.196467821	-0.986219494	-0.770842648	-5.907059925
Igtp	0.685664814	1.230820157	1.004137207	-1.114655115	-0.644681932	-1.161285131	-5.841244355
Gpx7	0.897578518	1.470849522	0.485403627	-0.71954067	-1.067145499	-1.067145499	-5.707663335
Chd7	0.986165722	1.118994567	0.840622942	-1.039441843	-1.245722664	-0.660618724	-5.891566461
Padi4	0.727364527	0.990503763	0.826179251	0.197405502	-1.298201832	-1.443251211	-5.088095081
Peli2	0.849999981	1.096836938	1.041830182	-0.909810734	-1.024243232	-1.054613135	-5.977334203
Ms4a4c	0.762977427	0.786026587	0.546842909	0.704231782	-1.194093111	-1.605985593	-4.191693845
Ldlrad3	0.713171493	0.751121565	0.80055456	0.512795425	-1.100979877	-1.676663167	-4.529695236
F630028O10Rik	0.587744304	1.671334959	0.490215391	-0.996446016	-0.662250181	-1.090598457	-5.498589307
Myh10	0.976147972	-0.019034199	1.6615422	-0.884736832	-0.872121744	-0.861797398	-5.237311947
Traf3ip2	0.784366581	1.225800644	0.711569986	-0.203847157	-0.972229857	-1.545660197	-5.443474422
Ccno	0.803522197	1.254746849	0.856902252	-0.594962608	-1.162956331	-1.157252359	-5.830342596
Tmem178	0.391995745	1.433654383	1.0328058	-0.96359303	-0.96359303	-0.931269869	-5.716911858
G0s2	0.502525081	1.316407802	0.751628342	-1.739637892	-0.217930544	-0.612992789	-5.14112245
Ptpru	0.818103978	1.071133684	1.098057658	-0.95182542	-1.010406889	-1.025063012	-5.974590642
Dntt	0.740112594	0.789775167	1.360805997	-1.19923673	-0.6133351	-1.078121929	-5.781387516
Gm7846	1.80918393	0.523318339	0.09505965	-0.472653582	-1.37097696	-0.583931377	-4.855123838
Sort1	0.837174054	0.915034191	1.144096215	-0.77478228	-1.449464139	-0.672058042	-5.792608921
Zfp516	0.697768704	1.005024663	1.251347719	-0.98758367	-0.864582443	-1.101974974	-5.908282172
Nlrp1b	0.803699258	1.029249186	0.816166458	-1.776418422	-0.650968771	-0.221727709	-5.298229804
Nod1	0.575889676	1.164811314	0.978909313	-0.219609347	-0.949940829	-1.550060127	-5.439220606
Mrgpra2a	0.779509346	1.403484657	0.562402107	-0.286728417	-1.201376122	-1.257291571	-5.49079222
Xdh	0.518552067	0.951595441	0.925139223	0.360806928	-1.522059885	-1.234033774	-4.790573462
Id1	0.521826981	1.586724475	0.576329882	-0.797403159	-0.463787439	-1.42369074	-5.369762676
Ly6i	0.613379114	1.220084656	0.851827722	-0.076470466	-1.285335398	-1.323485628	-5.370582985
Gstp3	1.387918992	0.019890812	1.229029679	-0.522258669	-1.222049549	-0.892531264	-5.273678965
Ptprr	0.852518183	1.008563645	1.128743047	-1.028757688	-0.961604533	-0.999462654	-5.97964975
Nrp2	0.865666996	1.036834244	1.077811304	-0.856840823	-0.949539778	-1.173931944	-5.960625089
Calhm6	0.436830423	1.691910972	0.449632597	-0.824519921	-0.363793612	-1.390060459	-5.156747985
Sdc1	0.551212256	0.844340008	0.513765668	0.252212103	-0.003828889	-2.157701146	-3.818635863
Csf1r	0.465545009	1.32296276	1.017552983	-0.911727932	-1.378517237	-0.515815583	-5.612121502
Stxbp6	0.87577261	1.069270999	1.048917825	-0.966172735	-1.01389435	-1.01389435	-5.98792287
Stat1	0.625209681	1.271127491	1.029438007	-1.206497745	-0.857305162	-0.861972272	-5.851550357
Olr1	0.987514719	0.758416973	1.224670326	-1.062981724	-0.967286534	-0.94033376	-5.941204038
Aoah	0.620975748	1.297447853	0.923265915	-0.897000813	-1.409997586	-0.534691117	-5.683379031
Gm13710	0.856613803	0.742989267	1.133019627	-0.120650707	-1.257556474	-1.354415516	-5.465245393
Nrg1	0.571007029	1.196882533	0.925522037	-0.095026692	-1.299192453	-1.299192453	-5.386823198
Glt1d1	0.942898525	1.147177021	0.900286678	-0.996023945	-0.954420647	-1.039917632	-5.980724448
Apba1	0.566483244	1.087477712	1.27665142	-0.929962123	-0.984203043	-1.016447211	-5.861224753
Casp12	0.764453425	1.17344542	0.840435144	-0.353608377	-0.846562624	-1.578162988	-5.556667978
Klrk1	0.165521988	0.610463289	0.429429555	1.41122426	-1.291388571	-1.325250522	-2.410829666
Aif1	0.327619867	0.973565209	0.530652373	0.872245521	-1.001043294	-1.703039677	-3.663674898
Atrnl1	0.627353133	0.662364398	0.984448127	0.523570017	-1.325467155	-1.47226852	-4.548331315
Sowahd	0.806532197	1.160041229	1.008950633	-1.039798951	-0.843100623	-1.092624485	-5.951048117
4930438A08Rik	0.512450587	0.532427509	1.271836138	0.39404389	-1.296333365	-1.414424759	-4.633428468
Bc1	1.269952764	0.747255986	-0.496147115	0.519335103	-0.23554936	-1.804847378	-3.04212327
Fam20c	0.61274513	1.265023564	0.985150145	-0.545199178	-0.970998681	-1.34672098	-5.725837678
Prkcb	0.490496982	0.868295206	1.096274379	-0.011068344	-0.582869835	-1.861128388	-4.910133135
Celsr1	0.475840206	0.92570166	1.424730378	-0.893919364	-1.298373843	-0.633979037	-5.652544488
Lrg1	0.317014646	0.795572452	0.527833924	1.079872275	-1.113331336	-1.60696196	-3.280842043
Sgce	1.159687253	1.230351686	0.533955589	-0.915720948	-1.027857964	-0.980415617	-5.847989058
Gm8995	0.782973558	0.900336762	0.816759638	-1.842101737	-0.715927204	0.057958984	-5.000139916
Gpc3	0.989353389	1.153065982	0.418675069	0.085415677	-1.263983801	-1.382526315	-5.122188879
Fgd4	1.007778909	0.663832214	1.236425706	-0.607814581	-1.147855061	-1.152367186	-5.816073656
Ctss	0.358055973	0.283275744	0.208387918	0.911282323	0.417020856	-2.178022815	-1.69943927
Camp	-0.099436493	0.422393125	0.5574105	1.498890919	-0.729258772	-1.649999279	-1.760734264
St8sia4	0.559660929	0.515416676	0.596807267	0.838471478	-0.477049825	-2.033306525	-3.343769744
AW112010	0.660098686	1.035609263	0.419435054	0.648207926	-1.18466059	-1.578690339	-4.230286006
Cxcl9	0.466507182	1.45617398	0.471174631	0.21181818	-1.290847551	-1.31482642	-4.787711584
Vill	0.2133607	0.59293498	0.172538879	0.15545103	0.999009933	-2.133295523	-1.957669118
Tlr1	0.79315155	1.445570133	0.360079078	-0.264641533	-0.744352824	-1.589806403	-5.197601521
Gbp2	0.570273697	1.423199319	0.814446342	-1.220541528	-0.449913584	-1.137464245	-5.615838716
Ifit1bl1	0.24717082	1.227341158	1.174685699	-0.21990375	-1.050998513	-1.378295412	-5.298395352
Lpxn	0.42741053	0.797359416	0.375779456	0.881217994	-0.471403956	-2.010363439	-3.201098803
Cyp27a1	0.634318903	1.057223608	1.118414454	-0.305730267	-1.248934859	-1.255291839	-5.619913931
Mapk13	0.931046818	1.105563511	0.883639685	-0.537247147	-1.15928169	-1.223721177	-5.840500028
Il12rb1	0.330818492	1.333761121	0.773217096	0.10308923	-1.641318727	-0.899567212	-4.875593418
Oas1g	1.463189945	1.088715156	0.236944297	-0.842085044	-1.055780439	-0.890983915	-5.577698796
Rnase10	0.962941331	1.145612897	0.880064404	-0.930879988	-0.996311575	-1.061427068	-5.977237263
Il22ra2	1.051642539	1.255641859	0.643554717	-0.96503736	-1.004023147	-0.981778607	-5.901678229
Slc36a4	0.537032897	0.538459745	0.951431358	0.353662393	-0.30775077	-2.072835623	-4.053847999
1810006J02Rik	0.816564643	0.79740835	0.741848528	0.306380582	-0.826376481	-1.835825623	-4.711643044
Ifi204	0.615429066	1.334660388	0.668165702	-0.013409773	-1.283798088	-1.321047295	-5.236510313
Fn1	0.558181731	0.522897065	1.524645745	-0.125986459	-1.244565035	-1.235173046	-5.211449081
Mgll	0.988225532	0.310755621	1.427834793	-0.411613976	-1.018635341	-1.296566629	-5.453631891
Cerk	0.369145304	0.907772649	0.855795932	0.24892297	-0.351403696	-2.030233159	-4.265427771
Guca1a	0.252029287	1.527850383	0.590763788	-1.507776452	0.119698527	-0.982565533	-4.741286917
Nhsl2	0.822365856	0.788080578	1.322158579	-0.73773882	-1.069480241	-1.125385952	-5.865210026
Gm9008	-0.989219543	1.244144575	1.16350353	0.509547347	-0.935488357	-0.992487552	-2.836857125
Rhobtb1	0.870944106	0.972142388	0.985558589	-0.825583445	-0.437016062	-1.566045576	-5.657290166
Ceacam1	0.594049813	0.943522532	0.813757715	0.382962708	-1.043240898	-1.69105187	-4.702660119
Ptpro	0.395471281	0.900798062	1.344952718	-0.106707938	-1.267257062	-1.267257062	-5.282444122
Irgm2	0.424868497	1.001573611	1.181070703	-1.309597812	0.008336558	-1.306251556	-5.215025622
Man1c1	0.436791275	1.043143435	0.923519027	0.238517246	-1.721785908	-0.920185075	-4.806907475
Pyroxd2	1.29877391	0.941868596	0.705986468	-0.833146979	-1.049124457	-1.064357539	-5.893257949
Psmb9	0.520257523	1.578881638	0.677984053	-1.18308668	-0.566115499	-1.027921035	-5.554246429
Ifitm3	0.756282659	1.426525907	0.482525309	-1.5196517	-0.260915944	-0.884766231	-5.330667749
Arhgap26	0.30232557	0.813060278	1.591775807	-1.24553634	-0.947892088	-0.513733226	-5.41432331
H2-DMb1	0.313136862	1.472180578	0.537728467	-0.118373963	-0.394813477	-1.809858467	-4.646091814
H2-M3	0.505584667	1.283986204	0.442120105	-0.257282629	-0.016391402	-1.958016945	-4.463381952
Mansc1	0.317527328	0.709817017	0.41373128	-1.401726134	1.256756271	-1.296105762	-2.882151251
Vis1	-0.668693245	0.774273657	1.900499324	-0.668693245	-0.668693245	-0.668693245	-4.012159471
Hdc	0.652708067	0.869771483	0.356658422	0.878292101	-1.620745199	-1.136684874	-3.758275945
Gm31925	1.057103788	1.406113599	0.39137477	-1.028957879	-1.028957879	-0.7966764	-5.709184314
Gbp7	0.599190852	0.504540196	1.09790923	-1.148349208	-1.600793545	0.547502476	-4.403280554
Vav3	0.866272999	1.121681333	0.866300909	-1.365641155	-0.37827214	-1.110341946	-5.708510482
Gramd3	0.70905667	1.257021451	0.828714987	-1.546579479	-0.451711247	-0.796502381	-5.589586216
Fam114a1	1.164875241	1.147541894	0.59080105	-0.736839819	-0.873860661	-1.292517706	-5.806436371
Mgat5	0.39192166	0.707628962	1.030503434	-1.788781223	-0.886789158	0.545516325	-4.260108112
Nrxn1	1.009700373	1.226760266	0.687311303	-0.672129122	-1.216547179	-1.035095641	-5.847543883
Ltb4r1	0.178039976	1.007161766	0.437435194	-0.183239696	0.639173781	-2.078571021	-3.245273871
Gm22567	1.236437945	1.448624485	-1.060566	-0.376083871	-0.219730056	-1.028682504	-3.248992861
Hck	0.478787541	1.181380452	0.35264419	0.67414814	-1.038200628	-1.648759696	-4.025624367
Orm1	1.130491178	0.849611298	0.374265475	0.373483212	-1.363925581	-1.363925581	-4.708735902
Sema4a	0.593553565	0.554279417	0.626098821	0.948702815	-1.774876312	-0.947758306	-3.547863607
Arid5a	0.353891636	1.66564999	0.72942317	-0.847731975	-1.096081244	-0.805151578	-5.497929594
AB124611	0.467189936	0.832788513	0.465967668	-0.983764394	-1.732242323	0.950060599	-3.531892234
Eps8	1.081343775	0.802557085	0.917134441	-0.24130412	-1.205291309	-1.354439872	-5.602070602
Sell	0.420301462	0.772357047	0.468811655	0.810804998	-0.431914379	-2.040360784	-3.322940329
Mageh1	0.868617613	1.324114478	0.54325539	-0.378499352	-0.807960453	-1.549527677	-5.471974962
Rpph1	0.902822475	1.073740548	-0.938089227	1.017452606	-0.987006347	-1.068920055	-2.076947592
Adamtsl4	0.678579212	1.352997685	0.815473574	-0.62705754	-1.415401853	-0.804591078	-5.694100942
Zbp1	1.048859994	1.151185078	0.562566996	-0.231613925	-1.237542017	-1.293456125	-5.525224136
Esr1	0.316759175	0.956500821	1.240672766	-1.776833171	-0.459946927	-0.277152664	-5.027865524
H2-Ab1	-0.028742217	0.451432322	0.284097663	0.738833491	0.713136082	-2.158757342	-1.413575537
Atrn	0.485648216	0.648990296	1.039759764	0.611159041	-1.458645501	-1.326911816	-4.348796552
Gja1	0.991767494	0.522411294	1.386421491	-0.863226809	-1.037571594	-0.999801875	-5.801200558
Nlrc5	0.547547512	1.210424732	0.937636586	-1.075882409	-1.475679073	-0.144047347	-5.391217659
Irf1	0.68341032	1.217705751	0.917341164	-0.988725437	-0.387091795	-1.442640004	-5.63691447
Tiam1	0.852606126	0.406540689	1.028564756	-0.687615811	-1.871699241	0.271603482	-4.575423141
H2-Q5	0.005766588	1.253602558	1.042495401	-0.747997034	-1.664317277	0.110449764	-4.603729094
Psmb10	0.744353261	1.673164241	0.085773168	-1.244736169	-0.243430932	-1.015123569	-5.00658134
Vsir	-0.198640354	1.192839487	0.872201163	-0.193009933	0.244870954	-1.918261317	-3.732800593
Nectin4	0.662292642	0.974354107	1.214420761	-0.622720075	-0.749044763	-1.479302672	-5.702135021
Nags	1.43947489	-0.045464743	1.257742057	-0.883917401	-0.883917401	-0.883917401	-5.303504407
Prelid2	1.496225447	-0.179649962	0.568650845	-0.1851158	0.131325332	-1.831435862	-3.77045266
Tapbpl	0.209083815	1.673227043	0.590692586	-0.947483392	-1.373639309	-0.151880743	-4.946006888
Rem2	1.196146164	0.58877284	1.155928412	-1.004604033	-1.004604033	-0.931639349	-5.881694831
Mmp2	1.094387226	1.191671338	0.435785105	-0.218239373	-1.178721018	-1.324883278	-5.443687338
Rnls	0.625369564	1.303530237	0.672797612	-1.099551595	-0.002798071	-1.499347747	-5.203394825
Serpina3f	-0.469767201	1.529221648	0.426961234	0.768250869	-0.875803946	-1.378862605	-2.972831362
Gm45837	0.484525551	0.406979376	0.155207857	1.074640189	-0.018900948	-2.102452025	-2.093425568
Lrp1	0.240518194	1.042377468	1.280912394	-0.02957643	-1.304691847	-1.22953978	-5.127616113
Pld1	0.945912758	0.836331794	0.940353607	-0.670865712	-0.330643433	-1.721089014	-5.445196318
Gm11989	0.354259175	1.18236708	1.295866208	-1.229401225	-0.822296083	-0.780795156	-5.664984927
H2-Aa	-0.180646131	0.406466849	0.246636129	0.940122425	0.682919135	-2.095498408	-0.944913695
Rpl34	0.187798512	1.163840619	0.170414047	-0.588678059	0.911541263	-1.844916382	-3.044106356
Gm12216	0.162197454	1.729973013	0.237776657	0.232601933	-1.380554404	-0.981994653	-4.259894248
Icosl	0.097376218	1.141668077	0.927950428	0.43293164	-1.659672458	-0.940253905	-4.333989445
Dock9	0.578737479	0.704854994	1.112701468	-1.923078429	-0.481496209	0.008280697	-4.792587881
BC064078	0.031235192	0.657678798	0.279866004	-2.089438298	1.057555489	0.063102815	-1.937559988
Rubcnl	0.059184728	1.459619866	0.528495481	0.268074994	-0.51179494	-1.803580128	-4.09460015
Pik3ap1	0.320946046	1.371729628	0.946380607	-1.19308932	-0.15252627	-1.29344069	-5.278112562
Tap1	0.125864101	1.453507493	1.015070747	-0.937524439	-1.371351682	-0.28556622	-5.188884681
Dgkg	0.722632536	0.63926505	1.118962674	-0.222608922	-0.348849865	-1.909401474	-4.96172052
Trem2	-0.040098726	1.087748092	0.286217047	-0.249234225	0.88648494	-1.971117128	-2.667732827
Flnb	0.327254181	0.584127362	0.91656485	-0.166465138	-2.11597177	0.454490516	-3.655892785
Csrp3	1.374136475	-0.202774565	0.771442612	0.446809424	-1.65346897	-0.736144975	-3.885609044
Sh3pxd2b	0.843193014	1.191281197	0.909245464	-0.660565655	-1.127360565	-1.155793455	-5.887439349
