gene	Preleukemia_Rx1Tet2_rep1	Preleukemia_Rx1Tet2_rep2	Preleukemia_Rx1Tet2_rep3	Leukemia_Rx1Tet2_rep1	Leukemia_Rx1Tet2_rep2	Leukemia_Rx1Tet2_rep3
Them6	0.9620279794007918	0.8875933724255345	1.066141728728293	-1.410325210725409	-0.8706875671329172	-0.6347503026962932
Asns	1.0730466427721863	0.5704375662970271	1.1874295753192097	-1.0854541836288776	-0.41904626786485055	-1.3264133328946943
Nrg2	0.6743001851198199	1.2275734154241762	1.0522120957617174	-0.8633055939442226	-1.0340938378066171	-1.0566862645548725
Adgrg7	0.9765614461116408	0.8119593297215172	1.0172324479973693	-1.3021180937752979	-0.2388277487141304	-1.2648073813410996
Cenpv	1.0629224155272596	0.9170317860238956	0.9878273299166676	-0.8153265756133747	-0.886283782495383	-1.2661711733590653
Mospd3	1.053677906510474	1.0937987709424166	0.774039773580171	-1.3153918635192203	-0.9956183855999168	-0.6105062019139271
Pxylp1	0.8567386961652056	1.046278654902256	0.9925392636079698	-0.4610077277023569	-1.1461290766190901	-1.2884198103539848
Siglecg	0.9101760798624774	1.0565922458868369	0.9350544653655224	-0.8837954036792267	-0.5826606166834325	-1.4353667707521784
Fgl2	0.7301645061205864	1.0587517136523343	1.0009904959509877	-0.22816792939444677	-1.2080366355648549	-1.3537021507646054
Tctex1d1	1.030937951340374	1.3163106100943944	0.5837964724843152	-0.9770150113063613	-0.9770150113063613	-0.9770150113063613
Rassf4	0.7815076784765013	1.027458334273748	1.10408172802877	-0.6516986074083035	-0.8727815353230072	-1.3885675980477084
Gpr160	0.8406576003308001	1.05736986683273	0.9044263243452707	-0.23265238811105673	-1.2603036754028745	-1.3094977279948705
Rasa4	0.7128219709586936	1.1401158918796368	1.0577537084586814	-0.639146375378082	-0.9299683155285049	-1.341576880390425
Igfbp4	0.7819380676599956	0.9884851149953294	0.726694213168611	0.25430783686782454	-1.2462084177937778	-1.5052168148979777
Gapt	0.826739595943848	1.222701717372271	0.9042015935544482	-0.7575399739205261	-1.001561127829899	-1.194541805120142
Gpx3	0.975755649348381	1.0764997140973047	0.9026696474040131	-1.1879478808313029	-0.65775362155444	-1.1092235084639566
Ttc39c	1.0290585637443561	1.0778698182997455	0.8747502468330219	-0.8131295158036291	-1.0563022892754195	-1.1122468237980756
Slc39a8	1.1215276203396516	0.7970528770059015	1.0439289139484667	-0.7510502262184832	-1.0435097212587483	-1.1679494638167878
Gsr	0.9426429899851382	1.0125180833975205	0.9321652695647469	-0.46819978269069534	-1.0198245905302172	-1.3993019697264892
D1Ertd622e	0.936487660991118	0.8490967084395367	0.9555247330769645	-0.1535569945856106	-1.0511802802810597	-1.53637182764095
C1qtnf6	0.9270376628318526	1.1309121545863194	0.8175199295482635	-0.44716034781015823	-1.064147384052321	-1.364162015103957
Myo1d	1.0599605364566635	0.4260484355611961	1.3901526181809125	-0.9378129463459666	-0.9225308069537699	-1.0158178368990358
Epor	1.0499376573451529	0.45023125522866125	1.331336165171308	-1.245356783822251	-1.0314226561254687	-0.5547256377974024
Pdlim1	1.0688751558315766	0.79986719847329	0.9994896290765566	-0.392755455857564	-1.2220861048974556	-1.253390422626407
Cd24a	1.101781358193685	0.6345570640054108	1.081155042350483	-0.34901046643053973	-1.0825733020332546	-1.385909696085784
Hsd11b1	0.9094829957101704	0.9178758331159074	0.803388028344177	-0.2825474663687107	-0.5229242001702826	-1.8252751906312594
Cfp	0.700694095951244	0.8371173751604599	0.493539481118704	0.5652491475294982	-0.637237107770347	-1.959362991989557
Cryzl2	0.7485073210199047	1.0636343987433483	0.7921084422386796	-1.151058349350734	0.07968082226559016	-1.5328726349167883
Flot2	0.6850967837519826	0.8132588930445687	0.7086601282678044	0.16546741438324533	-0.31293312646111004	-2.059550092986492
B3gnt8	0.6361757084226105	1.2740447994201358	0.8795738294787339	-0.4150114652789466	-0.8661369927886992	-1.5086458792538362
Tfrc	1.0254223459258096	0.6288464536385872	1.0156421250692595	-1.3100780980382223	-1.3434881663524527	-0.016344660242982444
Cd53	0.7450698372597624	0.7987474652959886	0.5866698429790539	0.3798346624622305	-0.49110601102048945	-2.019215796976545
Clec7a	0.9366759871986117	0.9730536208840458	0.8115719087714098	-0.10335185108030653	-1.1094203899410007	-1.5085292758327613
Arl11	0.8591293294575248	1.205270610108223	0.8158014435626589	-0.4617846667189861	-1.154104951616415	-1.2643117647930058
Lta4h	1.016253317874647	1.0534966201239517	0.9090526640013348	-0.7766714633039402	-1.061771921958637	-1.1403592167373564
Tmem150b	0.9427544220318252	1.1210781541839097	0.9119236294182882	-0.7742529102796379	-1.0978176014080694	-1.1036856939463149
Trim45	0.7872312199385436	1.2755481196536087	0.8715883958074935	-0.8452405579732143	-0.8244273961843636	-1.264699781242068
Tfpi	0.9436037344771826	0.8975713924793003	0.6381363881561936	0.2757772590704277	-1.2647406540877757	-1.4903481200953288
Ctse	1.0664439222750317	0.2799012995263359	1.461599110631372	-0.8241546337993828	-1.015759240706276	-0.9680304579270799
Gm1966	0.7623796315280168	0.9040782265576975	1.2638641327306894	-0.6826541898093066	-1.201439625118922	-1.0462281758881755
Aim2	1.2019978440302914	0.9025940943596252	0.7544347890319067	-0.44790590860139734	-1.0267005083181038	-1.3844203105023216
F13a1	0.7670907157322421	0.7409723403050006	0.7520833327326681	-1.5881105574588141	-1.2160722501630572	0.5440364188519576
Slc40a1	0.8072645263239092	0.5653318115448729	1.2772396367729482	-0.0439266264904974	-1.2969745509703687	-1.3089347971808638
C1qtnf12	1.05614983053508	0.510406537401227	1.3300227071903485	-0.9237905614341824	-0.8194570843478473	-1.1533314293446233
Tnfaip8	0.8509559132892105	0.8707232668288092	0.8644867405132517	-0.009921333217781983	-0.8128533268172562	-1.7633912605962314
Dio2	0.9120990138139252	0.9576486732729279	1.0089935849015899	-0.4433698729449218	-1.4058645816139195	-1.0295068174296025
