gene	Preleukemia_Control_rep1	Preleukemia_Control_rep2	Preleukemia_Control_rep3	Preleukemia_Rx1Tet2_rep1	Preleukemia_Rx1Tet2_rep2	Preleukemia_Rx1Tet2_rep3	Leukemia_Rx1Tet2_rep1	Leukemia_Rx1Tet2_rep2	Leukemia_Rx1Tet2_rep3	cluster
Mast2	0.3703910483045396	1.5081748754014732	0.9026656100625166	0.1364372609010245	-0.1332353639645827	0.6867671449309621	-1.1396214624202912	-1.955894060779208	-0.3756850524364271	0
Gm12666	1.8109557277722168	0.4289993585841725	0.4749812179362679	0.9360172676804444	0.2435272063212487	-0.336356927520653	-1.1933243436071304	-1.0373814907809635	-1.3274180163856053	0
Bcl2l13	-0.3151815015159783	1.364378414965327	1.311995001663249	0.3202988468924151	-0.0534291576284785	0.9116077323094276	-1.546400447524631	-0.95533179742554	-1.037937091735794	0
Lsm6	1.6665040723128468	-0.2729397935980763	0.0626389956238841	1.1163977646537195	0.7129094181556236	0.2596643321145654	-1.392430843524317	-0.8942756693411729	-1.2584682763970685	0
Gm14681	1.4633468724746628	0.6640589905838125	0.4926079162894581	0.9646568074694708	0.2897304184229329	0.0174248300889257	-1.547105839014699	-1.078082416728829	-1.266637579585729	0
Gm15915	1.0165851407533744	0.7741902472294483	0.5553213845728506	0.779316082764863	0.2622450285531993	0.6796771540920861	-1.873010406315745	-1.147346726644485	-1.046977905005592	0
Ahctf1	0.1016976514059805	1.5086391946524609	1.2470865111772451	0.3063173041626078	-0.6564019314536129	0.618606189516911	-1.3902184054428806	-1.5050416923697392	-0.2306848216489759	0
Cttn	0.6334479475674398	1.3403573505548472	1.1214487243977438	0.4183016825289959	-0.147402945158576	0.4281553451056077	-1.2150700703421855	-0.8642438839749768	-1.7149941506788973	0
Tomm6	2.044321439844563	0.0954927592538425	0.0959188147123567	0.6117249057267926	0.4934883667646707	-0.0966053492810838	-1.748051481975625	-0.7589796779261825	-0.7373097771193389	0
Clec2f	1.8693967313459667	1.1112012063978414	0.9866599200502426	-0.2216251431449965	-0.6481081125537048	-0.214250802128541	-1.003782869127565	-1.003782869127565	-0.8757080617116776	0
Gm13436	2.241920800748005	0.299058536014231	-0.3011495764606022	0.1642125679169078	0.5799404558622491	-0.1512948930268781	-1.2086988394743363	-0.2517025934131777	-1.3722864581664167	0
Gpatch4	1.8187110672510869	0.6578669729150154	0.4024758682233806	0.5543965455871583	0.2056270718913847	-0.0395570552057627	-1.5629823373844662	-1.3571303370067511	-0.679407796271035	0
Gm4739	1.33091920682909	0.0711819056555522	0.3882809840825308	0.9290015828912812	0.6387708678517078	0.3506169446925212	-2.023431821403076	-1.1293398856621992	-0.5559997849374102	0
Rps12	1.392432298409387	0.4064655468176455	0.2631383067353093	0.539489108182772	0.8011682338513435	0.3287183165221854	-1.2935420104162592	-0.4636713689277152	-1.9741984311746663	0
Naa10	1.6320299827226994	0.4273320173816609	0.4106292977084234	0.6830664243877529	0.5807709147351066	0.1687185676582533	-1.50225663559832	-1.1122928381071486	-1.2879977308884278	0
Fam234b	0.6261344660233173	1.4990064034494128	1.04504020035053	0.1875237926369296	-0.7613156912425612	0.7737543476044353	-0.8094697562134356	-1.0337628335291358	-1.526910929079495	0
