gene	Preleukemia_Control_rep1	Preleukemia_Control_rep2	Preleukemia_Control_rep3	Preleukemia_Rx1_rep1	Preleukemia_Rx1_rep2	Preleukemia_Rx1_rep3	Preleukemia_Tet2_rep1	Preleukemia_Tet2_rep2	Preleukemia_Tet2_rep3	Preleukemia_Rx1Tet2_rep1	Preleukemia_Rx1Tet2_rep2	Preleukemia_Rx1Tet2_rep3
Rnase10	-0.47748725654350427	-0.9296776034351358	0.30549974599243696	1.1660719347794595	0.8550318918392948	2.3226453283098367	-1.0748777096494309	-0.9051612992071512	-1.1223162542346674	-0.0979664439380408	0.18423886039133394	-0.2260011943044328
Tiam1	-1.7046675733638135	-0.79227963112195	-0.3518987684513596	0.39395423814392916	1.3549433758034741	1.5630027273711342	-0.18022158102883926	-0.3625764000125457	-1.6215759499083984	0.6440688750352865	0.2627725285952557	0.794478158937832
Naip2	-1.6249528547731065	-1.163739564369503	-0.18414464164309435	1.1232413632397966	0.8714172138423004	1.2186109210254523	-0.0437777871520402	-0.7321800873964255	-1.544319277369316	0.4345245112586438	0.8221818746089773	0.8231383287283022
Fndc3a	-1.5303147774724128	-0.7506443896016696	-0.12700356900007867	1.1492428338561513	1.1783167924276878	1.1270272614929402	0.2943732003398294	-0.6077388597801425	-2.007659032016816	0.5209958399032011	0.20756203043335375	0.545842669417966
Runx2	-0.8178802691369543	-0.976122316371413	-1.0382636825097802	0.7322694900207131	1.3331871486485822	1.2901087377934444	-0.10002161030434417	-1.1934240947195713	-1.4809340286228985	0.7473607362869377	0.6984152631035673	0.8053046258117151
Olr1	-0.7327293916395744	-0.8837948418092925	0.5645595846992852	1.4141333534573841	1.0675611979633708	1.757649705704725	-0.7164659165831071	-0.982044761257596	-1.589655560748996	0.030699609005695714	-0.21630839907484659	0.28639542028294684
Cyp27a1	-1.160194480185916	-0.6047720073302558	-0.5677468875656544	0.20050186184516708	1.3427334510512414	0.9954021949449428	-0.8826124205932502	-1.024080897886416	-1.378975951558478	0.6284809965515189	1.1853452246989924	1.265918916028109
Fam49a	-0.9870927383266527	-1.1954606458848438	-0.918896869733807	1.5533464398775205	1.3780028280893628	0.8107310426507022	0.3671344029514585	-0.6837001029965343	-1.486558672934701	-0.07794862654714697	0.30751313408089465	0.9329298087737541
Rpl31-ps7	-0.3460726759948884	-0.31872984914043245	-0.006297101574604095	1.0261006397314147	0.1223274469072479	2.5255529040115006	-0.451786366546833	-0.86952869623041	-1.5800446882494823	-0.7961824353110261	0.3327402808449608	0.3619205415525547
Gm13431	-0.005733442002401965	-0.969116407527847	-0.7387616056474581	0.2147658631255175	0.20582698102487193	1.677242004388526	-1.1100716457623947	-1.2085203184479514	-1.0272597088435362	1.090129083588004	1.6160814932777832	0.2554177028268879
Gm31925	0.44842032505877755	-1.429915368572839	-0.40962642077270267	0.3327416223134257	1.0041561779746067	1.7369697126109682	-0.5139656903792588	-1.3891137204540882	-1.3366768848889843	0.6367979232463845	1.0262100999602801	-0.10599777609657261
Clca3a1	-1.6332980029401585	-0.3298553033607875	-0.922498807157035	1.913444374916976	1.224234187121819	0.545674359484948	-0.3203305462082324	-0.7293245974294646	-0.863654161047771	0.40478147703479245	-0.39219592321065433	1.1030229427955618
Tlr4	-1.2551396484653403	-1.0064674972511365	-0.19231268273147717	1.0728588393368657	1.0605696405398666	1.2870611019278395	-0.139860547996776	-1.0873805163344248	-1.6955467256812278	0.5460680744060231	0.896144708128008	0.5140052541217811
Nlrp12	-0.877902042301213	-0.7055128858974752	-0.09194591019061896	1.2941686415519675	0.9686864724688449	2.247844847436575	-0.7478032649007256	-0.9354072368455636	-1.242868325058181	-0.17904955625720093	0.06531321180407447	0.2044760481895173
Siglecf	-1.096870078044847	-0.6793178626302467	0.0020934952721499713	0.8125832199736703	1.094606634439293	1.834418038714844	-0.4029889367722682	-1.2999588027080977	-1.622245057603503	0.3582497961521875	0.49231392521952094	0.5071156279873045
Fam114a1	-1.284885583285641	-1.1513159688950112	-0.6763276190742086	0.334714748892409	1.2876180685153533	0.7482395755706368	-0.5997709379716951	-0.7692160467111674	-1.173262579559614	1.3335407293400388	1.312543559820776	0.6381220533581243
Tmem246	-1.118153555258784	-1.4451625224245614	-1.5157189943591156	1.259076510487179	1.2157487370888713	0.9026620348113954	-0.3384829460277047	-0.6127281649418638	0.203535970221153	0.6996168772877267	-0.3945683558832984	1.1441744089990133
Nlrp1a	-1.2338832048273478	0.17117365507080426	-0.17092001208044275	1.2666700123024053	1.774628496739769	1.7252751926490477	-0.8877405207170437	0.0338007035670797	-0.6837105342422848	-0.9133152162083967	-0.6200940911757462	-0.46188448107784275
